公司,代號,股價 (50 Days ago),股價 (Today),漲幅
南亞,1303,77.70,80.10,3.09%
中鋼,2002,28.90,29.75,2.94%
聯電,2303,48.85,54.50,11.57%
台積電,2330,493.50,589.00,19.35%
富邦金,2881,57.70,61.10,5.89%
台塑,1301,93.70,92.50,-1.28%
仁寶,2324,23.75,29.90,25.89%
友達,2409,17.70,18.65,5.37%
華南金,2880,22.80,22.20,-2.63%
國泰金,2882,42.25,43.90,3.91%
兆豐金,2886,33.85,36.80,8.71%
台新金,2887,17.20,19.00,10.47%
中信金,2891,22.40,24.55,9.60%
統一,1216,73.50,77.20,5.03%
遠東新,1402,31.85,32.95,3.45%
華新,1605,48.30,46.85,-3.00%
中環,2323,8.00,13.40,67.50%
佳世達,2352,33.50,47.95,43.13%
大同,2371,32.55,45.85,40.86%
南亞科,2408,65.60,78.50,19.66%
長榮,2603,159.00,166.00,4.40%
陽明,2609,61.70,64.80,5.02%
華航,2610,18.80,27.60,46.81%
彰銀,2801,17.65,18.50,4.82%
新光金,2888,8.35,9.04,8.26%
永豐金,2890,16.75,17.25,2.99%
台泥,1101,38.65,38.70,0.13%
台化,1326,69.00,68.00,-1.45%
鴻海,2317,103.50,111.00,7.25%
旺宏,2337,32.50,34.85,7.23%
華碩,2357,280.00,316.50,13.04%
廣達,2382,85.30,149.00,74.68%
中華電,2412,126.50,125.50,-0.79%
玉山金,2884,24.80,26.20,5.65%
元大金,2885,22.45,24.35,8.46%
第一金,2892,27.00,27.60,2.22%
群創,3481,13.90,14.70,5.76%
宏碁,2353,29.55,33.35,12.86%
聯發科,2454,662.00,751.00,13.44%
潤泰全,2915,58.00,59.60,2.76%
緯創,3231,46.00,80.20,74.35%
亞泥,1102,43.80,43.95,0.34%
大成,1210,51.10,52.50,2.74%
國喬,1312,20.30,19.45,-4.19%
中石化,1314,10.10,9.84,-2.57%
東陽,1319,47.75,54.00,13.09%
南紡,1440,16.80,16.40,-2.38%
東元,1504,43.65,56.80,30.13%
亞德客-KY,1590,"1,100.00","1,030.00",-6.36%
中纖,1718,8.37,8.17,-2.39%
台肥,1722,58.50,61.80,5.64%
東和鋼鐵,2006,56.10,58.50,4.28%
中鴻,2014,24.30,24.55,1.03%
大成鋼,2027,43.85,48.35,10.26%
上銀,2049,230.50,250.00,8.46%
川湖,2059,406.50,459.50,13.04%
正新,2105,37.50,41.15,9.73%
裕隆,2201,80.50,83.70,3.98%
光寶科,2301,73.30,105.00,43.25%
台達電,2308,295.50,371.50,25.72%
華通,2313,43.10,43.45,0.81%
精英,2331,24.05,29.75,23.70%
友訊,2332,17.55,20.60,17.38%
台亞,2340,34.75,37.45,7.77%
華邦電,2344,25.50,29.20,14.51%
聯強,2347,60.90,59.00,-3.12%
鴻準,2354,53.40,56.00,4.87%
技嘉,2376,131.50,254.50,93.54%
微星,2377,145.00,178.00,22.76%
瑞昱,2379,359.00,401.00,11.70%
正崴,2392,41.15,41.90,1.82%
億光,2393,39.65,48.95,23.46%
凌陽,2401,23.70,29.95,26.37%
漢唐,2404,215.50,220.00,2.09%
京元電子,2449,46.20,56.50,22.29%
全新,2455,88.20,123.00,39.46%
義隆,2458,92.60,106.00,14.47%
可成,2474,180.00,186.50,3.61%
強茂,2481,64.30,68.90,7.15%
兆赫,2485,19.20,20.00,4.17%
瑞軒,2489,11.15,14.45,29.60%
華新科,2492,93.70,95.80,2.24%
宏達電,2498,56.20,60.50,7.65%
中工,2515,10.25,11.25,9.76%
冠德,2520,29.45,29.85,1.36%
興富發,2542,42.05,42.25,0.48%
華固,2548,94.80,91.00,-4.01%
新興,2605,22.15,21.60,-2.48%
長榮航,2618,26.35,40.20,52.56%
臺企銀,2834,13.90,14.10,1.44%
農林,2913,23.20,23.75,2.37%
晶豪科,3006,79.20,89.50,13.01%
大立光,3008,"2,025.00","2,195.00",8.40%
亞光,3019,63.80,68.10,6.74%
聯詠,3034,410.50,458.00,11.57%
智原,3035,160.00,193.00,20.62%
文曄,3036,66.40,67.00,0.90%
欣興,3037,136.50,189.50,38.83%
晶技,3042,84.90,94.30,11.07%
景碩,3189,107.50,115.00,6.98%
新日興,3376,86.70,91.00,4.96%
明泰,3380,35.30,40.35,14.31%
創意,3443,970.00,"1,650.00",70.10%
嘉澤,3533,888.00,887.00,-0.11%
健策,3653,450.00,635.00,41.11%
TPK-KY,3673,37.45,41.85,11.75%
大聯大,3702,50.40,54.70,8.53%
和碩,4938,69.60,79.30,13.94%
長虹,5534,79.30,81.00,2.14%
嘉聯益,6153,23.05,23.70,2.82%
瑞儀,6176,112.50,124.00,10.22%
聯茂,6213,70.10,71.70,2.28%
力成,6239,91.60,104.50,14.08%
同欣電,6271,167.00,191.50,14.67%
台表科,6278,99.00,100.50,1.52%
康舒,6282,43.45,47.70,9.78%
啟碁,6285,90.90,94.00,3.41%
台虹,8039,42.55,44.20,3.88%
達方,8163,43.45,47.85,10.13%
寶成,9904,31.90,32.15,0.78%
宏全,9939,98.80,103.50,4.76%
潤泰新,9945,35.50,36.05,1.55%
聚陽,1477,223.50,264.00,18.12%
台玻,1802,20.25,20.10,-0.74%
廣宇,2328,37.70,40.70,7.96%
健鼎,3044,114.50,122.50,6.99%
台灣大,3045,103.50,102.50,-0.97%
玉晶光,3406,368.00,397.50,8.02%
台郡,6269,96.90,93.00,-4.02%
美利達,9914,171.00,202.00,18.13%
合庫金,5880,26.60,28.00,5.26%
英業達,2356,32.95,45.50,38.09%
開發金,2883,12.95,12.75,-1.54%
遠傳,4904,78.00,79.20,1.54%
臻鼎-KY,4958,111.00,107.00,-3.60%
中租-KY,5871,220.00,205.00,-6.82%
儒鴻,1476,484.50,493.00,1.75%
國巨,2327,492.00,506.00,2.85%
南電,8046,266.50,279.50,4.88%
葡萄王,1707,179.00,175.00,-2.23%
敬鵬,2355,31.85,32.05,0.63%
致茂,2360,179.00,258.00,44.13%
美律,2439,87.10,94.20,8.15%
矽格,6257,51.50,56.00,8.74%
百和,9938,55.50,55.20,-0.54%
精華,1565,247.00,233.50,-5.47%
穩懋,3105,160.00,179.50,12.19%
璟德,3152,211.00,225.00,6.64%
順達,3211,75.10,79.50,5.86%
威剛,3260,75.00,92.10,22.80%
欣銓,3264,53.60,64.00,19.40%
碩禾,3691,103.50,103.50,0.00%
晟德,4123,51.30,53.00,3.31%
榮剛,5009,56.80,58.00,2.11%
世界,5347,85.60,90.30,5.49%
中光電,5371,73.50,71.40,-2.86%
中美晶,5483,146.50,164.00,11.95%
新普,6121,310.50,321.50,3.54%
頎邦,6147,67.30,64.90,-3.57%
網家,8044,56.50,52.60,-6.90%
元太,8069,173.50,228.50,31.70%
群聯,8299,389.50,429.00,10.14%
元大台灣50ETF,0050,116.00,131.55,13.41%
元大寶滬深ETF,0061,18.93,18.37,-2.96%
富邦上証ETF,006205,31.67,30.50,-3.69%
元大上證50ETF,006206,29.90,29.03,-2.91%
復華滬深ETF,006207,24.78,24.19,-2.38%
為升,2231,172.50,169.00,-2.03%
彩晶,6116,12.40,13.45,8.47%
胡連,6279,134.50,167.00,24.16%
國泰中國A50ETF,00636,21.30,20.78,-2.44%
富邦深100ETF,00639,12.50,12.21,-2.32%
群益深証中小ETF,00643,14.55,14.32,-1.58%
智邦,2345,289.00,363.00,25.61%
樺漢,6414,246.50,272.50,10.55%
和大,1536,69.20,72.70,5.06%
榮成,1909,17.25,16.60,-3.77%
聯亞,3081,105.50,101.50,-3.79%
同致,3552,141.00,151.50,7.45%
台燿,6274,65.00,77.30,18.92%
環球晶,6488,482.00,513.00,6.43%
精測,6510,462.00,584.00,26.41%
日月光投控,3711,101.00,125.50,24.26%
原相,3227,102.00,114.50,12.25%
智擎,4162,96.00,94.10,-1.98%
泰博,4736,181.50,188.00,3.58%
台半,5425,92.10,97.00,5.32%
元大高股息ETF,0056,28.02,32.78,16.99%
台灣高鐵,2633,30.85,32.45,5.19%
祥碩,5269,"1,110.00","1,215.00",9.46%
力旺,3529,"1,795.00","2,290.00",27.58%
台光電,2383,162.00,244.00,50.62%
信昌電,6173,38.45,43.95,14.30%
合晶,6182,43.20,46.65,7.99%
大江,8436,205.00,179.50,-12.44%
神盾,6462,83.70,91.60,9.44%
宣德,5457,52.30,53.70,2.68%
金居,8358,53.50,60.10,12.34%
宏捷科,8086,79.60,90.50,13.69%
神達,3706,28.30,36.45,28.80%
雙鴻,3324,249.00,291.50,17.07%
緯穎,6669,"1,165.00","1,190.00",2.15%
鈊象,3293,523.00,608.00,16.25%
信驊,5274,"2,640.00","2,805.00",6.25%
富采,3714,49.35,52.20,5.78%
裕民,2606,51.90,49.45,-4.72%
台勝科,3532,144.50,166.50,15.22%
永豐餘,1907,31.05,35.00,12.72%
精材,3374,98.10,127.00,29.46%
長興,1717,32.80,32.75,-0.15%
正隆,1904,31.35,32.35,3.19%
僑威,3078,52.30,83.60,59.85%
超豐,2441,52.80,57.20,8.33%
南茂,8150,36.40,39.45,8.38%
光罩,2338,79.50,81.00,1.89%
威盛,2388,73.60,84.60,14.95%
萬海,2615,63.70,62.60,-1.73%
高端疫苗,6547,65.70,61.50,-6.39%
力積電,6770,29.55,32.15,8.80%
奇鋐,3017,153.50,247.00,60.91%
中磊,5388,81.20,97.00,19.46%
漢翔,2634,57.50,58.10,1.04%
中天,4128,61.50,57.50,-6.50%
新唐,4919,129.50,131.50,1.54%
國泰永續高股息ETF,00878,17.45,19.36,10.95%
大亞,1609,27.05,38.50,42.33%
金像電,2368,98.50,139.50,41.62%
元晶,6443,36.80,35.90,-2.45%
富邦媒,8454,804.00,670.00,-16.67%
合一,4743,238.00,216.00,-9.24%
立端,6245,100.50,110.50,9.95%
寶雅,5904,583.00,580.00,-0.51%
備註,,50天前日期：2023-04-27,今天日期：2023-06-16,
